eval/mean_ep_length,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,env/current_idx,eval/success_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/value_loss
1.68,-0.14272484501823782,30,0,30,7,0.88,,,,,,,,,,,,,,,,
,,30,,,,,0,5.0,167,0.0,-1.2062885,1,,,,,,,,,,
1.6,-0.14432916082441807,60,0,60,14,0.86,,,,,,,-1.9354243874549866,0.03212113,0.2266666740179062,-6.3604350090026855,-0.052483027620861836,0.001,-0.05647654831409454,0.2,10,0.2667240060865879
,,60,,,,,0,4.3076923076923075,291,0.3076923076923077,-0.8887563846153845,2,,,,,,,,,,
1.58,-0.0933423568541184,90,0,90,28,0.92,,,,,,,-1.9075833797454833,0.024890073,0.11666666865348815,-0.06819188594818115,-0.040382524079953644,0.001,-0.053740113973617554,0.2,20,0.23608271703124045
,,90,,,,,0,3.2962962962962963,423,0.5555555555555556,-0.4913482962962963,3,,,,,,,,,,
1.4,-0.052711093057878314,120,0,120,38,0.94,,,,,,,-1.8811545968055725,0.026022997,0.12666666954755784,-0.45589375495910645,-0.030825253231839156,0.001,-0.03838799148797989,0.2,30,0.25577544160187243
,,120,,,,,0,3.1621621621621623,538,0.6216216216216216,-0.40039962162162157,4,,,,,,,,,,
1.58,-0.11524979621637613,150,0,150,52,0.9,,,,,,,-1.8527436256408691,0.016122164,0.07333333417773247,-0.3052668571472168,-0.03589623893300686,0.001,-0.07432112842798233,0.2,40,0.09213122874498367
,,150,,,,,0,2.9411764705882355,659,0.6470588235294118,-0.33864756862745105,5,,,,,,,,,,
1.68,-0.16937460880260916,180,0,180,64,0.86,,,,,,,-1.8194338798522949,0.018913358,0.14000000320374967,-0.8635824918746948,-0.045181306771313066,0.001,-0.08356188237667084,0.2,50,0.1654149502515793
,,180,,,,,0,2.857142857142857,786,0.6507936507936508,-0.3537028888888889,6,,,,,,,,,,
1.64,-0.14008756566792727,210,0,210,76,0.86,,,,,,,-1.8190884947776795,0.022357265,0.19000000469386577,-0.1770031452178955,-0.05237511964825296,0.001,-0.03320726752281189,0.2,60,0.2762412801384926
,,210,,,,,0,2.76,917,0.6933333333333334,-0.31740308,7,,,,,,,,,,
1.42,-0.07461708009243012,240,0,240,87,0.94,,,,,,,-1.76516455411911,0.029010419,0.15666666999459267,-0.43383729457855225,-0.03265985809344178,0.001,-0.03014444187283516,0.2,70,0.16370123997330666
,,240,,,,,0,2.7906976744186047,1034,0.686046511627907,-0.3422053720930232,8,,,,,,,,,,
1.32,-0.052125840014778074,270,0,270,96,0.94,,,,,,,-1.6957521438598633,0.014582618,0.063333335891366,-0.15512025356292725,-0.03949478375376203,0.001,-0.01723650097846985,0.2,80,0.2592346519231796
,,270,,,,,0,2.8105263157894735,1152,0.6842105263157895,-0.3452274421052631,9,,,,,,,,,,
1.34,-0.07040590777993203,300,0,300,107,0.94,,,,,,,-1.638518476486206,0.029320097,0.21000000424683093,-0.075461745262146,-0.040462490880551275,0.001,-0.02048470452427864,0.2,90,0.2221739672124386
,,300,,,,,0,2.7,1273,0.73,-0.30332607,10,,,,,,,,,,
1.56,-0.0795717387739569,330,0,330,119,0.94,,,,,,,-1.5261252403259278,0.020330492,0.1500000052154064,0.15100908279418945,-0.04021367812373988,0.001,-0.05639120563864708,0.2,100,0.15350289568305014
,,330,,,,,0,2.61,1400,0.74,-0.29396238999999996,11,,,,,,,,,,
1.28,-0.05036459405440837,360,0,360,130,0.96,,,,,,,-1.6221814632415772,0.022249965,0.4166666675359011,0.11068278551101685,-0.04634984753405043,0.001,-0.061239175498485565,0.2,110,0.12103982120752335
,,360,,,,,0,2.64,1513,0.74,-0.30856675999999994,12,,,,,,,,,,
1.2,-0.050048673208802935,390,0,390,141,0.96,,,,,,,-1.5245123744010924,0.020939862,0.2733333367854357,-0.1981983184814453,-0.04188473639388875,0.001,-0.05536867678165436,0.2,120,0.18965294323861598
,,390,,,,,0,2.65,1636,0.73,-0.3450809,13,,,,,,,,,,
1.38,-0.05183178609702736,420,0,420,153,0.96,,,,,,,-1.4542721509933472,0.061917417,0.3299999989569187,0.45420169830322266,-0.05379150991560877,0.001,-0.06274837255477905,0.2,130,0.14059301353991033
,,420,,,,,0,2.65,1745,0.75,-0.33842515999999995,14,,,,,,,,,,
1.3,-0.030485957064665854,450,0,450,168,0.98,,,,,,,-1.165402615070343,0.041921537,0.23000000268220902,-1.0457377433776855,-0.04649703988184548,0.001,-0.04879923164844513,0.2,140,0.25776400603353977
,,450,,,,,0,2.59,1860,0.76,-0.32760322000000003,15,,,,,,,,,,
1.24,-0.04913464417681098,480,0,480,181,0.96,,,,,,,-1.1135424971580505,0.019084351,0.0766666702926159,-0.29166674613952637,-0.03414631880198904,0.001,-0.009642787277698517,0.2,150,0.24216445833444594
,,480,,,,,0,2.55,1967,0.77,-0.31055008,16,,,,,,,,,,
1.24,-0.05053288566414267,510,0,510,195,0.96,,,,,,,-1.031123125553131,0.01058369,0.03333333469927311,-0.3324894905090332,-0.008971263216808367,0.001,-0.00014304742217063904,0.2,160,0.17939778603613377
,,510,,,,,0,2.41,2072,0.8,-0.26610130000000004,17,,,,,,,,,,
1.24,-0.009279187466017903,540,0,540,213,1.0,,,,,,,-0.889782702922821,0.022624582,0.11666666865348815,0.1295093297958374,-0.022353367838077176,0.001,-0.018550798296928406,0.2,170,0.08734440952539443
,,540,,,,,0,2.28,2194,0.81,-0.22137437000000001,18,,,,,,,,,,
1.4,-0.11168208857998252,570,0,570,226,0.9,,,,,,,-0.8626205325126648,0.008743036,0.05666666850447655,-2.757664442062378,-0.022070777493839698,0.001,-0.021856294944882393,0.2,180,0.09468126483261585
,,570,,,,,0,2.21,2308,0.82,-0.20331662,19,,,,,,,,,,
1.38,-0.0708243074733764,600,0,600,240,0.92,,,,,,,-0.7285849332809449,0.016131971,0.04333333447575569,-0.09017348289489746,-0.018459322208849115,0.001,0.07758881151676178,0.2,190,0.27280598431825637
,,600,,,,,0,2.13,2422,0.82,-0.19736012000000003,20,,,,,,,,,,
1.6,-0.1374861286394298,630,0,630,257,0.88,,,,,,,-0.4384795814752579,0.016220303,0.046666669100522994,0.012101173400878906,-0.011930990625793569,0.001,0.058833442628383636,0.2,200,0.19539133459329605
,,630,,,,,0,2.02,2565,0.83,-0.19314079000000003,21,,,,,,,,,,
1.16,-0.03146703808102757,660,0,660,274,0.98,,,,,,,-0.29268198907375337,0.003906562,0.03333333507180214,0.10787302255630493,-0.00045368015795244077,0.001,0.07929127663373947,0.2,210,0.22938665896654128
,,660,,,,,0,1.99,2674,0.82,-0.18322803000000004,22,,,,,,,,,,
1.26,-0.050769196283072235,690,0,690,284,0.96,,,,,,,-0.26185796558856966,0.0045350553,0.020000001043081285,0.07288897037506104,-0.006124371212596636,0.001,0.005629312247037888,0.2,220,0.08904069140553475
,,690,,,,,0,2.02,2795,0.81,-0.20664334999999998,23,,,,,,,,,,
1.52,-0.11290928458794952,720,0,720,297,0.9,,,,,,,-0.3312237560749054,0.019600468,0.09333333671092987,0.30526965856552124,-0.024902045441170452,0.001,0.03130108863115311,0.2,230,0.19883792102336884
,,720,,,,,0,2.05,2923,0.81,-0.20726498,24,,,,,,,,,,
1.42,-0.0535910664871335,750,0,750,321,0.94,,,,,,,-0.40154130160808565,0.0025772273,0.01666666753590107,-0.005285382270812988,-0.0014423886261647923,0.001,0.051162682473659515,0.2,240,0.16251241341233252
,,750,,,,,0,1.96,3043,0.83,-0.20442972,25,,,,,,,,,,
1.56,-0.09952224017586558,780,0,780,336,0.9,,,,,,,-0.47684812247753144,0.0041432222,0.01666666753590107,0.12714076042175293,-0.010646207190584534,0.001,0.007129743695259094,0.2,250,0.09314111210405826
,,780,,,,,0,1.88,3167,0.86,-0.17171674,26,,,,,,,,,,
1.26,-0.07169361231382937,810,0,810,347,0.94,,,,,,,-0.502779272198677,0.008346822,0.02333333417773247,0.16263514757156372,-0.013127937349102758,0.001,0.025904633104801178,0.2,260,0.16269470974802971
,,810,,,,,0,1.98,3273,0.84,-0.19064589999999998,27,,,,,,,,,,
1.44,-0.07532826427835972,840,0,840,364,0.94,,,,,,,-0.4103844702243805,0.0023243665,0.010000000521540642,0.3157925009727478,-0.005318112747045234,0.001,0.05920958146452904,0.2,270,0.22439922466874124
,,840,,,,,0,1.99,3399,0.83,-0.19947220999999998,28,,,,,,,,,,
1.64,-0.12113459910731762,870,0,870,379,0.9,,,,,,,-0.34650073051452634,0.0009839952,0.003333333507180214,0.5213202238082886,-0.001820628869269747,0.001,0.03999454528093338,0.2,280,0.15064359307289124
,,870,,,,,0,1.96,3534,0.83,-0.19092536,29,,,,,,,,,,
1.28,-0.030642855735495685,900,0,900,397,0.96,,,,,,,-0.4899700880050659,0.017708173,0.05000000186264515,-0.043247222900390625,-0.010551913807479085,0.001,0.02304110862314701,0.2,290,0.18577930852770805
,,900,,,,,0,1.81,3643,0.85,-0.15912658000000002,30,,,,,,,,,,
1.56,-0.13447447461541742,930,0,930,410,0.88,,,,,,,-0.6898073315620422,0.024124332,0.07333333566784858,0.3879767656326294,-0.02271421795710893,0.001,-0.03304683417081833,0.2,300,0.05947865098714829
,,930,,,,,0,1.92,3767,0.83,-0.18606376000000002,31,,,,,,,,,,
1.54,-0.11736855373717844,960,0,960,430,0.88,,,,,,,-0.5497525185346603,0.030527525,0.060000001639127734,0.14343422651290894,-0.02043484960702102,0.001,0.0030857548117637634,0.2,310,0.18381116911768913
,,960,,,,,0,1.91,3891,0.82,-0.19417392,32,,,,,,,,,,
1.24,-0.029800309794954957,990,0,990,448,0.98,,,,,,,-0.2827035948634148,0.00913043,0.023333334550261497,0.2161279320716858,-0.014765341337770365,0.001,0.008909802883863449,0.2,320,0.12219961062073707
,,990,,,,,0,1.78,4007,0.86,-0.14612532,33,,,,,,,,,,
1.28,-0.06965827126521618,1020,0,1020,461,0.94,,,,,,,-0.16843248903751373,0.0059939562,0.023333334550261497,0.15692180395126343,-0.011328251017257606,0.001,0.0027413051575422287,0.2,330,0.07965238504111767
,,1020,,,,,0,1.89,4121,0.83,-0.19121432000000002,34,,,,,,,,,,
1.14,-0.00808373676147312,1050,0,1050,479,1.0,,,,,,,-0.11831274330615997,9.131431e-06,0.0,-0.12933480739593506,1.157671205263e-05,0.001,0.1310741901397705,0.2,340,0.46300468146800994
,,1050,,,,,0,1.8,4221,0.86,-0.17705056,35,,,,,,,,,,
1.26,-0.049476886107586326,1080,0,1080,496,0.96,,,,,,,-0.10410079509019851,7.947286e-07,0.0,-0.232948899269104,-3.6086638434795757e-06,0.001,0.11527302116155624,0.2,350,0.4263400062918663
,,1080,,,,,0,1.82,4333,0.85,-0.18617650000000002,36,,,,,,,,,,
1.22,-0.030427106064744292,1110,0,1110,511,0.98,,,,,,,-0.09254444316029549,0.0024037738,0.013333334028720856,0.03221708536148071,-0.00417787133560843,0.001,0.05672777444124222,0.2,360,0.17767540663480758
,,1110,,,,,0,1.71,4435,0.88,-0.14834566000000002,37,,,,,,,,,,
1.32,-0.05179909420665354,1140,0,1140,529,0.96,,,,,,,-0.07971377447247505,3.5762787e-07,0.0,0.037277817726135254,-3.4014383402336535e-06,0.001,0.03739285469055176,0.2,370,0.14585346281528472
,,1140,,,,,0,1.81,4550,0.86,-0.18212658999999995,38,,,,,,,,,,
1.34,-0.05050321930553764,1170,0,1170,545,0.96,,,,,,,-0.07635986357927323,0.0,0.0,0.1605544090270996,-2.806782759590121e-06,0.001,0.022396620362997055,0.2,380,0.12222987897694111
,,1170,,,,,0,1.83,4668,0.85,-0.18306130000000004,39,,,,,,,,,,
1.42,-0.055671208733692766,1200,0,1200,561,0.94,,,,,,,-0.06696935780346394,0.0055598775,0.020000001043081285,-0.35554301738739014,-0.006079211540830798,0.001,0.023976696655154228,0.2,390,0.14054202362895013
,,1200,,,,,0,1.79,4789,0.87,-0.15235444,40,,,,,,,,,,
1.3,-0.0715769525617361,1230,0,1230,574,0.94,,,,,,,-0.05280677936971188,5.9604645e-07,0.0,-0.2909280061721802,-1.2685855457661432e-06,0.001,0.02195906639099121,0.2,400,0.13740870989859105
,,1230,,,,,0,1.87,4902,0.86,-0.16246589999999997,41,,,,,,,,,,
1.34,-0.03200373893603683,1260,0,1260,590,0.98,,,,,,,-0.048369789868593215,0.0,0.0,0.10072970390319824,-2.7239322548666677e-07,0.001,0.052090730518102646,0.2,410,0.1419271372258663
,,1260,,,,,0,1.84,5020,0.88,-0.14830265,42,,,,,,,,,,
1.54,-0.09472128305584192,1290,0,1290,603,0.9,,,,,,,-0.04675735421478748,0.0,0.0,0.2785589098930359,-4.1822592016238503e-07,0.001,0.025904718786478043,0.2,420,0.10623943507671356
,,1290,,,,,0,1.98,5155,0.85,-0.18435411000000004,43,,,,,,,,,,
1.62,-0.13995970046147704,1320,0,1320,618,0.88,,,,,,,-0.046263539046049115,0.0,0.0,0.12899863719940186,-2.80042492439847e-07,0.001,0.04328107833862305,0.2,430,0.15311575382947923
,,1320,,,,,0,1.97,5298,0.85,-0.18771754999999998,44,,,,,,,,,,
1.46,-0.07307314396835864,1350,0,1350,633,0.94,,,,,,,-0.04611188806593418,0.0,0.0,0.4260289669036865,-7.59462517319065e-07,0.001,0.029493574053049088,0.2,440,0.14105855636298656
,,1350,,,,,0,1.96,5423,0.84,-0.20674116,45,,,,,,,,,,
1.34,-0.05051796691957861,1380,0,1380,651,0.94,,,,,,,-0.04596653319895268,0.0,0.0,-0.3018141984939575,-1.7484029051217932e-07,0.001,0.03822224214673042,0.2,450,0.2068837344646454
,,1380,,,,,0,1.97,5542,0.83,-0.21973290999999995,46,,,,,,,,,,
1.26,-0.02948677017353475,1410,0,1410,669,0.98,,,,,,,-0.04896765053272247,0.002168093,0.010000000521540642,0.11681365966796875,-0.0016820301698560413,0.001,0.04373828321695328,0.2,460,0.18460411205887794
,,1410,,,,,0,1.88,5647,0.86,-0.18856884999999998,47,,,,,,,,,,
1.1,-0.008594806506298482,1440,0,1440,681,1.0,,,,,,,-0.056419138237833975,3.616015e-07,0.0,-131.24888610839844,-1.9373496023433747e-06,0.001,0.01864537037909031,0.2,470,0.11703318990767002
,,1440,,,,,0,1.95,5759,0.84,-0.21210384999999998,48,,,,,,,,,,
1.26,-0.05002623922657221,1470,0,1470,698,0.96,,,,,,,-0.06017446368932724,5.9604645e-08,0.0,0.26455825567245483,-1.4086563542292653e-07,0.001,0.09208930283784866,0.2,480,0.22506968230009078
,,1470,,,,,0,1.94,5887,0.85,-0.20353829999999998,49,,,,,,,,,,
1.2,-0.02951109635643661,1500,0,1500,715,0.98,,,,,,,-0.06154378242790699,0.0,0.0,0.15104252099990845,-3.7471454259474515e-07,0.001,0.10333387553691864,0.2,490,0.25583953261375425
,,1500,,,,,0,1.82,6009,0.87,-0.16584680999999996,50,,,,,,,,,,
1.18,-0.028041844079270958,1530,0,1530,731,0.98,,,,,,,-0.062273893132805826,0.0,0.0,0.024455785751342773,-1.2694795948675618e-06,0.001,0.04806196689605713,0.2,500,0.15057984068989755
,,1530,,,,,0,1.89,6126,0.87,-0.17477858999999998,51,,,,,,,,,,
1.3,-0.05206492324359715,1560,0,1560,754,0.96,,,,,,,-0.06234331130981445,0.0,0.0,-0.13695478439331055,-7.703900417155296e-07,0.001,0.1177382841706276,0.2,510,0.2715433225035667
,,1560,,,,,0,1.74,6254,0.9,-0.13451409999999997,52,,,,,,,,,,
1.22,-0.049401804958470165,1590,0,1590,775,0.96,,,,,,,-0.07043228074908256,0.007747054,0.020000001043081285,-0.03794729709625244,-0.00551719364089287,0.001,0.04473087564110756,0.2,520,0.12616887986660003
,,1590,,,,,0,1.66,6370,0.9,-0.13598431000000002,53,,,,,,,,,,
1.24,-0.049565763799473646,1620,0,1620,789,0.96,,,,,,,-0.08631467819213867,0.00014236172,0.0,0.18791431188583374,-0.00010084112254844513,0.001,0.029488500207662582,0.2,530,0.08588070534169674
,,1620,,,,,0,1.63,6510,0.9,-0.13608416,54,,,,,,,,,,
1.42,-0.07215894734486937,1650,0,1650,807,0.94,,,,,,,-0.09324123486876487,0.0038902382,0.010000000521540642,0.10445535182952881,-0.004243825233230946,0.001,0.09588781744241714,0.2,540,0.25176673382520676
,,1650,,,,,0,1.6,6645,0.9,-0.13542494,55,,,,,,,,,,
1.36,-0.053173063113354145,1680,0,1680,821,0.96,,,,,,,-0.14966427758336068,0.011628042,0.023333334550261497,0.15329647064208984,-0.005255568305340885,0.001,0.04915614426136017,0.2,550,0.16039275527000427
,,1680,,,,,0,1.73,6774,0.87,-0.16874053999999997,56,,,,,,,,,,
1.34,-0.07103609907440842,1710,0,1710,838,0.94,,,,,,,-0.23820819556713105,0.023422591,0.07000000104308128,-0.014160633087158203,-0.0058825336955486305,0.001,0.052935659885406494,0.2,560,0.18746843412518502
,,1710,,,,,0,1.7,6907,0.86,-0.17630855999999998,57,,,,,,,,,,
1.48,-0.11375218356959521,1740,0,1740,855,0.9,,,,,,,-0.2853690952062607,0.006710184,0.020000001043081285,0.525252103805542,-0.004816362680091046,0.001,0.0167929045855999,0.2,570,0.09214762225747108
,,1740,,,,,0,1.79,7039,0.86,-0.17899213999999997,58,,,,,,,,,,
1.52,-0.09692819306161254,1770,0,1770,869,0.9,,,,,,,-0.4018246829509735,0.017979812,0.05000000186264515,-0.8615289926528931,-0.01981507425351694,0.001,-0.021741602569818497,0.2,580,0.15116617493331433
,,1770,,,,,0,1.93,7180,0.83,-0.21593297000000003,59,,,,,,,,,,
1.42,-0.09360872530844062,1800,0,1800,886,0.92,,,,,,,-0.38857497572898864,0.0052917837,0.013333334028720856,0.27757811546325684,-0.003235228963119141,0.001,0.06544321030378342,0.2,590,0.18124717175960542
,,1800,,,,,0,1.9,7316,0.83,-0.21355873000000003,60,,,,,,,,,,
1.58,-0.13696906038559972,1830,0,1830,899,0.88,,,,,,,-0.288299585878849,0.029175824,0.1000000037252903,0.5457369089126587,-0.01997433980926875,0.001,-0.0003047175705432892,0.2,600,0.0989151332527399
,,1830,,,,,0,1.95,7461,0.83,-0.2091047,61,,,,,,,,,,
1.78,-0.17979059040080755,1860,0,1860,915,0.82,,,,,,,-0.16749013662338258,0.006576828,0.020000001043081285,0.26925134658813477,-0.001890648614304702,0.001,0.03897225111722946,0.2,610,0.13217333778738977
,,1860,,,,,0,1.98,7612,0.82,-0.21389609,62,,,,,,,,,,
1.34,-0.032926320568658414,1890,0,1890,929,0.96,,,,,,,-0.22402337640523912,5.8593352e-05,0.0,0.1023784875869751,-0.0008438470941200648,0.001,0.03856738284230232,0.2,620,0.14477765038609505
,,1890,,,,,0,1.96,7734,0.83,-0.20587781000000002,63,,,,,,,,,,
1.54,-0.0945811224449426,1920,0,1920,948,0.9,,,,,,,-0.2636790558695793,0.008450896,0.03333333507180214,-0.504967212677002,-0.010930841233736643,0.001,0.04760856181383133,0.2,630,0.21913768649101256
,,1920,,,,,0,1.9,7899,0.84,-0.18867237,64,,,,,,,,,,
1.44,-0.074062142171897,1950,0,1950,963,0.92,,,,,,,-0.3117548704147339,0.0021329382,0.01666666753590107,-0.4489790201187134,-0.0027927212550821422,0.001,0.08054199814796448,0.2,640,0.22276626378297806
,,1950,,,,,0,1.89,8039,0.84,-0.18748405,65,,,,,,,,,,
1.38,-0.051566125508397814,1980,0,1980,978,0.96,,,,,,,-0.34430371820926664,0.0043596467,0.023333334550261497,0.08312439918518066,-0.0022381775046232733,0.001,0.06936310976743698,0.2,650,0.20885058343410492
,,1980,,,,,0,1.98,8174,0.82,-0.20754269,66,,,,,,,,,,
1.32,-0.07223397376015782,2010,0,2010,994,0.94,,,,,,,-0.31260269284248354,0.0055149575,0.05000000074505806,-0.2732185125350952,-0.009294557547351801,0.001,0.06157051399350166,0.2,660,0.2559606462717056
,,2010,,,,,0,1.89,8299,0.84,-0.18000721000000003,67,,,,,,,,,,
1.38,-0.07126592888496816,2040,0,2040,1016,0.92,,,,,,,-0.33215385377407075,0.005426427,0.04000000208616257,0.22451335191726685,-0.00158343453464731,0.001,0.01843324862420559,0.2,670,0.09028042666614056
,,2040,,,,,0,1.73,8419,0.88,-0.13938357,68,,,,,,,,,,
1.3,-0.050223601907491686,2070,0,2070,1026,0.94,,,,,,,-0.3966094970703125,0.009962008,0.03666666783392429,-0.40073156356811523,-0.0032801437139763578,0.001,0.01740417256951332,0.2,680,0.06508913077414036
,,2070,,,,,0,1.8,8542,0.85,-0.16553280999999997,69,,,,,,,,,,
1.22,-0.05343533732928336,2100,0,2100,1035,0.96,,,,,,,-0.5039247751235962,0.0023208042,0.04666666761040687,0.22401350736618042,-0.005628532600434255,0.001,0.08425697684288025,0.2,690,0.27358570992946624
,,2100,,,,,0,1.97,8659,0.8,-0.22292209,70,,,,,,,,,,
1.32,-0.03183666282333433,2130,0,2130,1047,0.98,,,,,,,-0.49079891443252566,0.043123957,0.08333333693444729,0.2715878486633301,-0.009576104059815372,0.001,0.016497181728482246,0.2,700,0.08347061052918434
,,2130,,,,,0,2.1,8788,0.78,-0.25514269,71,,,,,,,,,,
1.28,-0.034073446579277515,2160,0,2160,1064,0.98,,,,,,,-0.3697895795106888,0.041093353,0.12333333529531956,-0.02668166160583496,-0.025977100543677523,0.001,0.07617947459220886,0.2,710,0.2864758685231209
,,2160,,,,,0,2.05,8916,0.79,-0.24483197999999998,72,,,,,,,,,,
1.32,-0.05142927704378963,2190,0,2190,1078,0.96,,,,,,,-0.24962436258792878,0.009999347,0.023333334550261497,0.06286948919296265,-0.009733168209592335,0.001,0.06393822282552719,0.2,720,0.18980790227651595
,,2190,,,,,0,2.06,9034,0.79,-0.2508509400000001,73,,,,,,,,,,
1.28,-0.03008740408346057,2220,0,2220,1091,0.98,,,,,,,-0.29549340903759,0.0033866286,0.02333333417773247,0.362520694732666,-0.014006664650514722,0.001,0.004648037254810333,0.2,730,0.13300248235464096
,,2220,,,,,0,2.18,9150,0.76,-0.2783386,74,,,,,,,,,,
1.46,-0.09789528286550193,2250,0,2250,1106,0.92,,,,,,,-0.2360362634062767,0.01598465,0.026666668057441712,-0.05445277690887451,-0.0019276937807444661,0.001,0.1016085147857666,0.2,740,0.26336083859205245
,,2250,,,,,0,2.25,9280,0.75,-0.30236801,75,,,,,,,,,,
1.12,-0.028202745052985846,2280,0,2280,1122,0.98,,,,,,,-0.3058039605617523,0.00083501736,0.0,0.3023248314857483,-0.00487796371407363,0.001,0.03706876188516617,0.2,750,0.16406300738453866
,,2280,,,,,0,2.24,9388,0.77,-0.2771153999999999,76,,,,,,,,,,
1.28,-0.030434379098005594,2310,0,2310,1135,0.94,,,,,,,-0.28862846791744234,0.005976383,0.023333334550261497,0.012583255767822266,-0.011155268231717131,0.001,0.017412787303328514,0.2,760,0.1202547900378704
,,2310,,,,,0,2.09,9504,0.81,-0.22767288,77,,,,,,,,,,
1.34,-0.05289459451567382,2340,0,2340,1147,0.94,,,,,,,-0.5539115935564041,0.052151475,0.14666666872799397,0.38057035207748413,-0.02768277312318492,0.001,-0.03040851652622223,0.2,770,0.10765465199947358
,,2340,,,,,0,2.08,9627,0.81,-0.21852272,78,,,,,,,,,,
1.38,-0.07155345416627824,2370,0,2370,1160,0.94,,,,,,,-0.5297414988279343,0.018668752,0.03333333507180214,0.4430606961250305,-0.025998441770983226,0.001,-0.028390606865286827,0.2,780,0.09478776268661022
,,2370,,,,,0,2.17,9759,0.78,-0.25203522999999994,79,,,,,,,,,,
1.32,-0.05081315497867763,2400,0,2400,1182,0.96,,,,,,,-0.6564064860343933,0.04169263,0.07666666805744171,0.3464614152908325,-0.02338907366133469,0.001,0.001398671418428421,0.2,790,0.14419783651828766
,,2400,,,,,0,2.03,9893,0.81,-0.22006894000000002,80,,,,,,,,,,
1.48,-0.0749607658246532,2430,0,2430,1202,0.92,,,,,,,-0.6700469374656677,0.021170588,0.09666667059063912,0.23026680946350098,-0.03779791302668585,0.001,-0.026832807809114456,0.2,800,0.11867090612649918
,,2430,,,,,0,1.84,10020,0.84,-0.17204272999999998,81,,,,,,,,,,
1.36,-0.030935158729553224,2460,0,2460,1217,0.96,,,,,,,-0.6993230760097504,0.017478297,0.12666666954755784,-0.04984700679779053,-0.034942553279300625,0.001,-0.012837659567594528,0.2,810,0.15545977726578714
,,2460,,,,,0,1.9,10150,0.83,-0.17184596,82,,,,,,,,,,
1.42,-0.07655281481798738,2490,0,2490,1232,0.92,,,,,,,-0.5852501153945923,0.019786084,0.0833333358168602,-0.12566745281219482,-0.03876634940660244,0.001,-0.033127736300230026,0.2,820,0.12234142124652862
,,2490,,,,,0,1.84,10273,0.85,-0.16587371999999997,83,,,,,,,,,,
1.56,-0.07510075532831252,2520,0,2520,1246,0.9,,,,,,,-0.46481730341911315,0.006151642,0.07000000216066837,0.07070028781890869,-0.017056925559105807,0.001,0.03855019807815552,0.2,830,0.20573793947696686
,,2520,,,,,0,1.84,10412,0.85,-0.1648489,84,,,,,,,,,,
1.48,-0.07482808507978916,2550,0,2550,1258,0.9,,,,,,,-0.5257802575826644,0.025277039,0.13000000342726709,-0.2002946138381958,-0.02586379551639162,0.001,0.038340941071510315,0.2,840,0.22614590972661971
,,2550,,,,,0,1.85,10552,0.86,-0.15260549999999998,85,,,,,,,,,,
1.26,-0.05100363704841584,2580,0,2580,1271,0.96,,,,,,,-0.6201769798994065,0.020534221,0.07666666842997075,0.15641754865646362,-0.0365142906612407,0.001,0.011450767517089844,0.2,850,0.18745797276496887
,,2580,,,,,0,1.96,10672,0.84,-0.17693696999999994,86,,,,,,,,,,
1.4,-0.0518766923667863,2610,0,2610,1284,0.96,,,,,,,-0.6593785166740418,0.038651444,0.13666667006909847,-0.02316296100616455,-0.05615223216513776,0.001,0.0036659985780715942,0.2,860,0.21651028245687484
,,2610,,,,,0,2.05,10798,0.82,-0.20493414000000001,87,,,,,,,,,,
1.12,-0.008365315175615251,2640,0,2640,1297,1.0,,,,,,,-0.5434133917093277,0.03817674,0.13333333730697633,0.25747060775756836,-0.026900824028998647,0.001,0.030940290540456772,0.2,870,0.19468786418437958
,,2640,,,,,0,2.18,10905,0.8,-0.24045205000000003,88,,,,,,,,,,
1.42,-0.07185321802739054,2670,0,2670,1312,0.9,,,,,,,-0.5516703635454178,0.01846922,0.08666666932404041,0.010160386562347412,-0.03333439298594989,0.001,0.017696015536785126,0.2,880,0.2179148480296135
,,2670,,,,,0,2.17,11041,0.79,-0.26079367000000003,89,,,,,,,,,,
