eval/success_rate,time/total_timesteps,eval/mean_reward,env/current_idx,eval/mean_ep_length,env/completion_counter,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range
0.84,300,-0.11333401990588754,134,1.4,0,300,,,,,,,,,,,,,,,,
,300,,,,,,2.31,0.43,1,0,-0.58534997,436,,,,,,,,,,
0.76,600,-0.2159884930914268,280,1.56,0,600,,,,,,,0.0001,0.0,0.00053747126,5,0.15252621471881866,-0.005061433110386133,-1.9457441186904907,0.31842185676097867,-0.39743340015411377,0.2
,600,,,,,,1.99,0.58,2,0,-0.4383307,889,,,,,,,,,,
0.94,900,-0.048339483458548785,423,1.18,0,900,,,,,,,0.0001,0.0,0.001134419,10,0.08482018113136292,-0.006567930149103631,-1.9440499305725099,0.284107346534729,-0.2734721899032593,0.2
,900,,,,,,2.1,0.55,3,0,-0.42006726,1295,,,,,,,,,,
0.94,1200,-0.06864533519838005,566,1.2,0,1200,,,,,,,0.0001,0.0,0.0022975537,15,0.0664137676358223,-0.007993723329273053,-1.9383932304382325,0.2267484700679779,0.0030919313430786133,0.2
,1200,,,,,,2.17,0.47,4,0,-0.5359546000000001,1692,,,,,,,,,,
0.88,1500,-0.13004688625223934,712,1.28,0,1500,,,,,,,0.0001,0.0018181818723678588,0.0039751404,20,0.07429466396570206,-0.011281592603772879,-1.9240460586547852,0.23246844947338105,-0.014885425567626953,0.2
,1500,,,,,,2.1,0.51,5,0,-0.46797731,2105,,,,,,,,,,
0.92,1800,-0.050432994407601656,861,1.2,0,1800,,,,,,,0.0001,0.0,0.004262743,25,0.05315279960632324,-0.012275282451882958,-1.8966019582748412,0.24383399844169618,-0.04298281669616699,0.2
,1800,,,,,,2.1,0.54,6,0,-0.4303421999999999,2525,,,,,,,,,,
0.84,2100,-0.11471716919913888,1003,1.36,0,2100,,,,,,,0.0001,0.012215909361839295,0.0070045227,30,0.07865212112665176,-0.016010760767385362,-1.8535404300689697,0.22402960538864136,0.046863675117492676,0.2
,2100,,,,,,2.09,0.53,7,0,-0.43552591999999996,2958,,,,,,,,,,
0.9,2400,-0.0699863958498463,1164,1.24,0,2400,,,,,,,0.0001,0.002443181872367859,0.008003381,35,0.08619929105043411,-0.017452416758751498,-1.7833309698104858,0.2315622866153717,0.030765295028686523,0.2
,2400,,,,,,1.8,0.67,8,0,-0.31923407000000004,3381,,,,,,,,,,
0.94,2700,-0.02800551856402308,1328,1.12,0,2700,,,,,,,0.0001,0.0,0.0067376657,40,0.09748063236474991,-0.012438206616789103,-1.6894420433044433,0.2128950583934784,0.08133774995803833,0.2
,2700,,,,,,1.83,0.66,9,0,-0.29467662,3800,,,,,,,,,,
0.9,3000,-0.0514663430256769,1493,1.22,0,3000,,,,,,,0.0001,0.0,0.006570807,45,0.05806755647063255,-0.013896601009182632,-1.5872630405426025,0.22231026589870453,-0.03562271595001221,0.2
,3000,,,,,,1.77,0.69,10,0,-0.26024537,4239,,,,,,,,,,
0.86,3300,-0.09002809920348227,1659,1.28,0,3300,,,,,,,0.0001,0.0,0.0059177177,50,0.07411926984786987,-0.010515721396077425,-1.4663962268829345,0.21872703969478607,0.048745572566986084,0.2
,3300,,,,,,1.75,0.73,11,0,-0.21504652999999999,4676,,,,,,,,,,
0.98,3600,-0.027444541999138893,1818,1.08,0,3600,,,,,,,0.0001,0.0027272728085517882,0.0049713436,55,0.08731157332658768,-0.008849497651681304,-1.3512688779830933,0.21587104260921477,0.03366279602050781,0.2
,3600,,,,,,1.8,0.68,12,0,-0.25218017,5111,,,,,,,,,,
0.86,3900,-0.15112792541738598,1994,1.32,0,3900,,,,,,,0.0001,0.0,0.0033611846,60,0.06299323588609695,-0.007235871378943557,-1.246384754180908,0.21477873384952545,0.022064030170440674,0.2
,3900,,,,,,1.64,0.75,13,0,-0.2171073,5559,,,,,,,,,,
0.88,4200,-0.11213096188846976,2161,1.32,0,4200,,,,,,,0.0001,0.004318181872367859,0.00626966,65,0.08213923126459122,-0.019358746353536845,-1.1239568281173706,0.21770056545734406,0.058396995067596436,0.2
,4200,,,,,,1.88,0.63,14,0,-0.32481423,6014,,,,,,,,,,
0.9,4500,-0.0891304921079427,2338,1.24,0,4500,,,,,,,0.0001,0.0009090909361839294,0.0049285437,70,0.06090521067380905,-0.01161746634170413,-0.9720250177383423,0.20738057136535645,0.12727022171020508,0.2
,4500,,,,,,1.75,0.7,15,0,-0.24214906000000003,6461,,,,,,,,,,
0.94,4800,-0.04874484301544726,2513,1.18,0,4800,,,,,,,0.0001,0.0,0.0026379605,75,0.07007317990064621,-0.0060982139362022285,-0.856422905921936,0.18475466549396516,0.08712524175643921,0.2
,4800,,,,,,1.71,0.74,16,0,-0.25053566999999993,6907,,,,,,,,,,
0.92,5100,-0.08898812650702893,2680,1.24,0,5100,,,,,,,0.0001,0.007102272808551789,0.003470432,80,0.05056066811084747,-0.006542159505188465,-0.7640943861007691,0.1764727598428726,0.17337721586227417,0.2
,5100,,,,,,1.82,0.65,17,0,-0.33324619999999994,7360,,,,,,,,,,
0.8,5400,-0.1735116872517392,2861,1.44,0,5400,,,,,,,0.0001,0.0,0.0019321857,85,0.07567990571260452,-0.004720444562844932,-0.6732905554771423,0.17952182471752168,0.19178032875061035,0.2
,5400,,,,,,1.7,0.72,18,0,-0.24867089,7839,,,,,,,,,,
0.96,5700,-0.04881163011305034,3041,1.18,0,5700,,,,,,,0.0001,0.0,0.0007771204,90,0.09240207076072693,-0.0018543900130316615,-0.6074660778045654,0.177769815325737,0.21637743711471558,0.2
,5700,,,,,,1.62,0.74,19,0,-0.2268271,8296,,,,,,,,,,
0.9,6000,-0.1131176685448736,3234,1.28,0,6000,,,,,,,0.0001,0.0,4.3552387e-05,95,0.07582768052816391,-8.082551952611539e-05,-0.5779816174507141,0.17077310085296632,0.21596890687942505,0.2
,6000,,,,,,1.65,0.73,20,0,-0.26913636,8751,,,,,,,,,,
0.88,6300,-0.10912413543090224,3413,1.26,0,6300,,,,,,,0.0001,0.0,0.00023887007,100,0.08391022682189941,-0.0014616114848467988,-0.5645240235328675,0.18457669734954835,0.12362879514694214,0.2
,6300,,,,,,1.67,0.7,21,0,-0.27614633,9193,,,,,,,,,,
0.92,6600,-0.04859295578207821,3598,1.22,0,6600,,,,,,,0.0001,0.0,0.0001295924,105,0.08569035679101944,-0.0005721520804218016,-0.5404827904701233,0.18376434922218324,0.17047357559204102,0.2
,6600,,,,,,1.62,0.74,22,0,-0.24032274999999997,9628,,,,,,,,,,
0.84,6900,-0.15433915206696838,3782,1.36,0,6900,,,,,,,0.0001,0.0027840909361839293,0.0016242772,110,0.0626780316233635,-0.0026440808585539346,-0.520027084350586,0.175355603992939,0.2084951400756836,0.2
,6900,,,,,,1.72,0.68,23,0,-0.28507599,10084,,,,,,,,,,
0.96,7200,-0.04906776012852788,3960,1.16,0,7200,,,,,,,0.0001,0.0,0.0003571547,115,0.08263640105724335,-0.0012404213100671768,-0.48839282751083374,0.18728913784027099,0.18707746267318726,0.2
,7200,,,,,,1.65,0.74,24,0,-0.18379988999999994,10542,,,,,,,,,,
0.9,7500,-0.09133454491384327,4143,1.26,0,7500,,,,,,,0.0001,0.0,1.9945883e-05,120,0.061799436807632446,-8.963947999291122e-05,-0.47708460569381717,0.16682246536016465,0.15773099660873413,0.2
,7500,,,,,,1.71,0.69,25,0,-0.33953395999999997,11005,,,,,,,,,,
0.92,7800,-0.06855537905823439,4328,1.2,0,7800,,,,,,,0.0001,0.0,7.311486e-05,125,0.11098779737949371,-0.00026991241167706904,-0.47957810044288635,0.20277948558330536,0.14210277795791626,0.2
,7800,,,,,,1.63,0.74,26,0,-0.23824836000000005,11442,,,,,,,,,,
0.9,8100,-0.1128462932864204,4502,1.22,0,8100,,,,,,,0.0001,0.0,0.00015543398,130,0.07279205322265625,-0.0007734545809216797,-0.46120726704597476,0.1803286325931549,0.19841885566711426,0.2
,8100,,,,,,1.66,0.73,27,0,-0.23607443,11907,,,,,,,,,,
0.88,8400,-0.13075787187553942,4689,1.24,0,8400,,,,,,,0.0001,0.0,0.00019389219,135,0.08045478910207748,-0.001316326335654594,-0.4580759859085083,0.19973559737205504,0.08094364404678345,0.2
,8400,,,,,,1.66,0.74,28,0,-0.26866910000000005,12347,,,,,,,,,,
0.92,8700,-0.051401932137086985,4876,1.32,0,8700,,,,,,,0.0001,0.0,0.00014259528,140,0.0771922841668129,-0.000780456091160886,-0.4522616851329804,0.18232155859470367,0.24243056774139404,0.2
,8700,,,,,,1.63,0.75,29,0,-0.25413758000000003,12795,,,,,,,,,,
0.84,9000,-0.13431143722031266,5062,1.36,0,9000,,,,,,,0.0001,0.0,0.0007231984,145,0.06469228118658066,-0.0024267992470413447,-0.4262149000167847,0.17504891753196716,0.21659690141677856,0.2
,9000,,,,,,1.64,0.74,30,0,-0.22325027999999997,13246,,,,,,,,,,
1.0,9300,-0.008691924214363099,5244,1.06,0,9300,,,,,,,0.0001,0.0,2.182424e-05,150,0.08157902210950851,-0.00011088408617069945,-0.4016148066520691,0.16626438975334168,0.26987338066101074,0.2
,9300,,,,,,1.63,0.74,31,0,-0.25329270000000004,13673,,,,,,,,,,
0.84,9600,-0.15873937277123332,5446,1.44,0,9600,,,,,,,0.0001,0.0,0.00015319344,155,0.09494853764772415,-0.0008115012881171424,-0.40335679054260254,0.18312811791896821,0.2052651047706604,0.2
,9600,,,,,,1.49,0.81,32,0,-0.16580132,14147,,,,,,,,,,
0.86,9900,-0.07001834862865508,5629,1.32,0,9900,,,,,,,0.0001,0.0,0.00016440976,160,0.07616393268108368,-0.0009490628889761865,-0.3875376784801483,0.15666013717651367,0.18401968479156494,0.2
,9900,,,,,,1.62,0.75,33,0,-0.19735647999999997,14603,,,,,,,,,,
0.82,10200,-0.17314083334989847,5817,1.38,0,10200,,,,,,,0.0001,0.0,0.0002466257,165,0.1092543751001358,-0.0012537834323393326,-0.3617139005661011,0.18713070571422577,0.09545004367828369,0.2
,10200,,,,,,1.57,0.78,34,0,-0.22746853,15073,,,,,,,,,,
0.9,10500,-0.11444205528125168,5998,1.24,0,10500,,,,,,,0.0001,0.0,2.9858016e-05,170,0.07521920651197433,-0.00012567495983603294,-0.34012496113777163,0.16937450617551802,0.21578991413116455,0.2
,10500,,,,,,1.68,0.74,35,0,-0.25321744999999996,15517,,,,,,,,,,
0.94,10800,-0.04912585649639368,6189,1.2,0,10800,,,,,,,0.0001,0.0,0.00020411024,175,0.09303232282400131,-0.0008929150714538991,-0.33040842056274417,0.17638836085796356,0.24593216180801392,0.2
,10800,,,,,,1.66,0.73,36,0,-0.27056745,15992,,,,,,,,,,
0.86,11100,-0.12963020813651382,6366,1.32,0,11100,,,,,,,0.0001,0.0,7.018364e-05,180,0.07721167057752609,-0.00047947681159712376,-0.3098993289470673,0.1490757605433464,0.33207082748413086,0.2
,11100,,,,,,1.65,0.76,37,0,-0.23130199,16463,,,,,,,,,,
0.92,11400,-0.08886820314452053,6547,1.24,0,11400,,,,,,,0.0001,0.0,2.9113517e-05,185,0.08076009154319763,-0.00013880810081559502,-0.3097867465019226,0.19083207964897156,0.1222953200340271,0.2
,11400,,,,,,1.65,0.74,38,0,-0.25586376,16932,,,,,,,,,,
0.92,11700,-0.06889833956025541,6734,1.18,0,11700,,,,,,,0.0001,0.0,2.5771133e-05,190,0.07237577438354492,-0.00015581505460431799,-0.3113542890548706,0.16951328188180922,0.23644381761550903,0.2
,11700,,,,,,1.55,0.8,39,0,-0.18438269,17386,,,,,,,,,,
0.92,12000,-0.06956993410829454,6918,1.2,0,12000,,,,,,,0.0001,0.0,4.6032972e-05,195,0.0734814703464508,-0.0003424882328413048,-0.3151262664794922,0.16697831064462662,0.21085846424102783,0.2
,12000,,,,,,1.55,0.77,40,0,-0.20565545,17862,,,,,,,,,,
0.94,12300,-0.04901405233889818,7104,1.18,0,12300,,,,,,,0.0001,0.0,7.2944385e-05,200,0.09047269076108932,-0.0003786285419482738,-0.3103169214725494,0.18919073700904845,0.19339191913604736,0.2
,12300,,,,,,1.61,0.74,41,0,-0.2667989,18315,,,,,,,,,,
0.88,12600,-0.12914233460091054,7286,1.26,0,12600,,,,,,,0.0001,0.0,2.552733e-05,205,0.07583800703287125,-0.00026856808674438073,-0.3099192929267883,0.1682367342710495,0.28384876251220703,0.2
,12600,,,,,,1.67,0.7,42,0,-0.28538974,18765,,,,,,,,,,
0.86,12900,-0.1334047543257475,7465,1.34,0,12900,,,,,,,0.0001,0.0,0.00023499329,210,0.09908026456832886,-0.0015856708969658939,-0.29970539450645445,0.19105160146951675,0.16340595483779907,0.2
,12900,,,,,,1.65,0.77,43,0,-0.20412657999999997,19211,,,,,,,,,,
0.94,13200,-0.0699333512596786,7656,1.12,0,13200,,,,,,,0.0001,0.0,0.00029220415,215,0.07719781249761581,-0.0015850775557737506,-0.2715971350669861,0.17963420629501342,0.15153217315673828,0.2
,13200,,,,,,1.51,0.8,44,0,-0.20450815000000003,19653,,,,,,,,,,
0.9,13500,-0.11002503119409085,7843,1.32,0,13500,,,,,,,0.0001,0.0,0.0003311609,220,0.07821720838546753,-0.0011938353820551129,-0.24826417922973631,0.1816939914226532,0.20375323295593262,0.2
,13500,,,,,,1.6,0.75,45,0,-0.25989648000000004,20114,,,,,,,,,,
0.9,13800,-0.09032006703782827,8045,1.26,0,13800,,,,,,,0.0001,0.0,0.00022939066,225,0.06843379884958267,-0.001227618211519257,-0.22808977663517,0.16583097696304322,0.28411126136779785,0.2
,13800,,,,,,1.45,0.82,46,0,-0.18897532000000006,20563,,,,,,,,,,
0.92,14100,-0.09116985290776938,8235,1.26,0,14100,,,,,,,0.0001,0.0,3.515939e-05,230,0.09746373444795609,-0.0001057077627046965,-0.21788874745368958,0.16980652272701263,0.17553257942199707,0.2
,14100,,,,,,1.62,0.74,47,0,-0.25574384,21006,,,,,,,,,,
0.96,14400,-0.047542844349518415,8434,1.14,0,14400,,,,,,,0.0001,0.0,6.956821e-05,235,0.0675385370850563,-0.0009113773099272748,-0.20872579455375673,0.16013850271701813,0.28120702505111694,0.2
,14400,,,,,,1.55,0.79,48,0,-0.20768851,21435,,,,,,,,,,
0.92,14700,-0.04987907560076565,8618,1.22,0,14700,,,,,,,0.0001,0.0,3.927975e-05,240,0.0916961207985878,-0.0004929956945125013,-0.1998681604862213,0.16113223731517792,0.2486535906791687,0.2
,14700,,,,,,1.68,0.72,49,0,-0.26969700999999996,21896,,,,,,,,,,
1.0,15000,-0.006652000802569091,8803,1.04,0,15000,,,,,,,0.0001,0.0,0.00012221742,245,0.0829557254910469,-0.0005334842670708895,-0.2059543651342392,0.1662745487689972,0.28814584016799927,0.2
,15000,,,,,,1.56,0.77,50,0,-0.21718303000000003,22317,,,,,,,,,,
0.96,15300,-0.029981031310744585,8998,1.16,0,15300,,,,,,,0.0001,0.0,5.625002e-06,250,0.09157624840736389,-9.7118565450387e-05,-0.21291450142860413,0.1703767114877701,0.23630082607269287,0.2
,15300,,,,,,1.59,0.76,51,0,-0.19705907000000003,22751,,,,,,,,,,
0.92,15600,-0.04972078429535031,9171,1.26,0,15600,,,,,,,0.0001,0.0,2.6105548e-05,255,0.08487129956483841,-0.00016468627246013056,-0.21711816132068634,0.16496521651744842,0.18156683444976807,0.2
,15600,,,,,,1.79,0.67,52,0,-0.293501,23190,,,,,,,,,,
0.9,15900,-0.10989690689835697,9355,1.24,0,15900,,,,,,,0.0001,0.0,1.899158e-05,260,0.08206459134817123,-0.0001522836583899334,-0.22201746463775635,0.1955698871612549,0.185494065284729,0.2
,15900,,,,,,1.62,0.75,53,0,-0.23524833,23643,,,,,,,,,,
0.9,16200,-0.06989850632380694,9531,1.26,0,16200,,,,,,,0.0001,0.0,0.000106469684,265,0.07169899344444275,-0.0007833223196121253,-0.21113721907138824,0.17193621158599853,0.23497623205184937,0.2
,16200,,,,,,1.65,0.72,54,0,-0.29572844,24098,,,,,,,,,,
0.96,16500,-0.028058867482468487,9724,1.14,0,16500,,,,,,,0.0001,0.0,2.064666e-05,270,0.09419401735067368,-7.930858298891507e-05,-0.19767775118350983,0.19243508517742158,0.2008863091468811,0.2
,16500,,,,,,1.61,0.75,55,0,-0.24150491,24526,,,,,,,,,,
0.9,16800,-0.11149965538177639,9900,1.24,0,16800,,,,,,,0.0001,0.0,1.3623709e-05,275,0.05506526306271553,-0.000413680709316111,-0.1944143307209015,0.15646024703979491,0.3372955322265625,0.2
,16800,,,,,,1.68,0.73,56,0,-0.27783803999999995,24960,,,,,,,,,,
0.9,17100,-0.06899125753436237,10092,1.24,0,17100,,,,,,,0.0001,0.0,3.0934774e-05,280,0.06925076246261597,-0.0002730908375480112,-0.1911299705505371,0.17103268533945085,0.28704386949539185,0.2
,17100,,,,,,1.57,0.77,57,0,-0.21207798999999994,25396,,,,,,,,,,
0.86,17400,-0.11627122121397405,10277,1.4,0,17400,,,,,,,0.0001,0.0,1.1289374e-05,285,0.07227437943220139,-3.9310115349735495e-05,-0.1854296374320984,0.1753164651989937,0.2360016107559204,0.2
,17400,,,,,,1.64,0.74,58,0,-0.26628826,25835,,,,,,,,,,
0.96,17700,-0.04821830751374364,10467,1.12,0,17700,,,,,,,0.0001,0.0,1.2133626e-05,290,0.08990360796451569,-0.00018580964983399894,-0.18634879887104033,0.1687588307261467,0.2757294178009033,0.2
,17700,,,,,,1.53,0.79,59,0,-0.17567236,26262,,,,,,,,,,
0.94,18000,-0.02802511686459184,10648,1.16,0,18000,,,,,,,0.0001,0.0,0.00019330326,295,0.04495173692703247,-0.0011132106371223927,-0.1824725103378296,0.15889651328325272,0.27738720178604126,0.2
,18000,,,,,,1.78,0.67,60,0,-0.30114087,26704,,,,,,,,,,
0.96,18300,-0.049249956966377795,10841,1.14,0,18300,,,,,,,0.0001,0.0,3.6441248e-05,300,0.09389181435108185,-0.0002061073431264049,-0.17050012171268464,0.18127511501312255,0.19415819644927979,0.2
,18300,,,,,,1.57,0.76,61,0,-0.21363165000000003,27137,,,,,,,,,,
0.88,18600,-0.10979366923682392,11029,1.26,0,18600,,,,,,,0.0001,0.0,0.00020406829,305,0.07702752202749252,-0.001143635276451036,-0.176125710606575,0.14842017441987992,0.3292294144630432,0.2
,18600,,,,,,1.67,0.73,62,0,-0.26416744000000003,27582,,,,,,,,,,
0.96,18900,-0.04948254445567727,11217,1.16,0,18900,,,,,,,0.0001,0.0,5.03316e-05,310,0.089714914560318,-0.0003093646469908862,-0.18628352105617524,0.1736072689294815,0.2657596468925476,0.2
,18900,,,,,,1.6,0.74,63,0,-0.24770289999999995,28034,,,,,,,,,,
0.94,19200,-0.048122276086360216,11422,1.18,0,19200,,,,,,,0.0001,0.0,0.00027542794,315,0.06191807985305786,-0.0015877608116716146,-0.16506883800029754,0.15613678544759751,0.30874162912368774,0.2
,19200,,,,,,1.45,0.82,64,0,-0.15145178,28484,,,,,,,,,,
0.96,19500,-0.050115576800890266,11607,1.2,0,19500,,,,,,,0.0001,0.0,7.823608e-05,320,0.04463765770196915,-0.0005150913045599737,-0.15207762777805328,0.1458394396305084,0.2354353666305542,0.2
,19500,,,,,,1.58,0.79,65,0,-0.22174966000000004,28908,,,,,,,,,,
0.88,19800,-0.09243864752352238,11809,1.28,0,19800,,,,,,,0.0001,0.0,1.6476586e-05,325,0.08541805297136307,-0.00027195368861669065,-0.14904130041599273,0.172213032245636,0.24481379985809326,0.2
,19800,,,,,,1.44,0.82,66,0,-0.16529834999999998,29347,,,,,,,,,,
0.92,20100,-0.06893464180175216,11998,1.18,0,20100,,,,,,,0.0001,0.0,4.0089897e-05,330,0.06105612590909004,-0.00036110976187046616,-0.14267405688762666,0.13206476330757141,0.40892094373703003,0.2
,20100,,,,,,1.54,0.77,67,0,-0.22643596000000002,29803,,,,,,,,,,
0.86,20400,-0.09164254657924176,12185,1.3,0,20400,,,,,,,0.0001,0.0,5.2857504e-05,335,0.07888054847717285,-0.0003847976613110404,-0.13517062842845917,0.18666304588317872,0.1722393035888672,0.2
,20400,,,,,,1.56,0.76,68,0,-0.23645313000000004,30250,,,,,,,,,,
0.94,20700,-0.06830844710581005,12375,1.16,0,20700,,,,,,,0.0001,0.0,8.644909e-06,340,0.07849223911762238,2.3516746110985308e-05,-0.12977642953395843,0.15623644471168519,0.2965426445007324,0.2
,20700,,,,,,1.62,0.76,69,0,-0.21599390999999998,30677,,,,,,,,,,
0.86,21000,-0.15014903916977346,12569,1.34,0,21000,,,,,,,0.0001,0.0,6.7649407e-06,345,0.08695848286151886,-9.40054207936214e-05,-0.12831987380981447,0.16035634636878968,0.2472406029701233,0.2
,21000,,,,,,1.61,0.75,70,0,-0.21109182,31112,,,,,,,,,,
0.9,21300,-0.08986755908466876,12761,1.3,0,21300,,,,,,,0.0001,0.0,1.4211136e-06,350,0.07946240156888962,-8.663519110996276e-07,-0.1251813542842865,0.17351288020610808,0.22876644134521484,0.2
,21300,,,,,,1.51,0.79,71,0,-0.21790118999999997,31546,,,,,,,,,,
0.88,21600,-0.08967797703575343,12943,1.28,0,21600,,,,,,,0.0001,0.0,6.0489065e-06,355,0.07965464144945145,-0.00012284929948734203,-0.12326018869876862,0.15291545003652574,0.3373711109161377,0.2
,21600,,,,,,1.56,0.77,72,0,-0.18102929999999998,31983,,,,,,,,,,
0.84,21900,-0.13429720678832383,13124,1.32,0,21900,,,,,,,0.0001,0.0,5.2690237e-05,360,0.0767861157655716,-0.00043395633474574424,-0.11995305687189102,0.165251701772213,0.23688209056854248,0.2
,21900,,,,,,1.59,0.74,73,0,-0.27131176999999995,32452,,,,,,,,,,
0.92,22200,-0.03441648116800934,13317,1.18,0,22200,,,,,,,0.0001,0.0,3.3895485e-05,365,0.09753365814685822,-0.0003288154677613875,-0.11609886348247528,0.1686668187379837,0.30538785457611084,0.2
,22200,,,,,,1.64,0.7,74,0,-0.25060255000000004,32908,,,,,,,,,,
0.9,22500,-0.09077521398197859,13508,1.26,0,22500,,,,,,,0.0001,0.0,5.4809654e-05,370,0.07526986300945282,-0.0006691240866410908,-0.11137722283601761,0.17805100977420807,0.1797020435333252,0.2
,22500,,,,,,1.58,0.77,75,0,-0.22717191,33361,,,,,,,,,,
0.94,22800,-0.0677670575492084,13694,1.14,0,22800,,,,,,,0.0001,0.0,3.33393e-05,375,0.05267273634672165,-0.00021514543411512932,-0.10392184019088745,0.15074461579322815,0.3131689429283142,0.2
,22800,,,,,,1.62,0.75,76,0,-0.22998129000000003,33792,,,,,,,,,,
